souid,lat_dec,lon_dec,time,value
2939,63.282332,10.433963,2017-06-07T1210,0
2942,60.32098,11.241018,2017-06-07T1210,0.1
2951,60.734791,11.29333,2017-06-07T1210,0.1
2958,60.524325,5.194439,2017-06-07T1210,0
2961,63.994749,10.014188,2017-06-07T1210,0
2973,59.89144,10.695958,2017-06-07T1210,0.2
2977,58.729211,5.665779,2017-06-07T1210,0
2997,63.266327,8.369928,2017-06-07T1210,0
2998,60.391102,5.3247,2017-06-07T1210,0
3002,58.993021,5.913835,2017-06-07T1210,0
3004,62.219412,6.249558,2017-06-07T1210,0
3006,63.043344,7.536886,2017-06-07T1210,0
3008,60.412559,5.322446,2017-06-07T1210,0
3009,59.769986,5.496847,2017-06-07T1210,0.2
3011,60.880901,10.9395,2017-06-07T1210,0.1
3012,59.857294,10.807051,2017-06-07T1210,0
3019,59.94743,11.03761,2017-06-07T1210,0
3031,59.943855,11.017851,2017-06-07T1210,0
3033,60.388772,5.228936,2017-06-07T1210,0
3043,62.207639,6.142787,2017-06-07T1210,0
3049,60.888257,10.958391,2017-06-07T1210,0
3051,58.300008,6.639135,2017-06-07T1210,0.1
3059,58.99263,9.858975,2017-06-07T1210,0.4
3060,59.273957,5.308706,2017-06-07T1210,0
3064,59.196268,10.377917,2017-06-07T1210,0.1
3068,63.473143,11.119329,2017-06-07T1210,0
3075,59.879827,10.84602,2017-06-07T1210,0.1
3076,59.423036,5.398702,2017-06-07T1210,0
3081,59.102474,10.244802,2017-06-07T1210,0.2
3097,60.25041,10.387659,2017-06-07T1210,0.1
3112,59.937324,10.684273,2017-06-07T1210,0.3
3116,63.42262,10.751445,2017-06-07T1210,0
3121,63.531587,9.425476,2017-06-07T1210,0
3129,60.393002,5.3242,2017-06-07T1210,0
3130,59.668137,6.005159,2017-06-07T1210,0
3137,60.379505,5.198105,2017-06-07T1210,0
3140,59.014515,5.58782,2017-06-07T1210,0
3143,59.044751,9.228812,2017-06-07T1210,0.61
3148,58.858444,5.56665,2017-06-07T1210,0
3149,59.935361,5.86157,2017-06-07T1210,0
3150,61.568195,10.276329,2017-06-07T1210,0
3156,63.284299,10.213176,2017-06-07T1210,0
3169,68.65543,15.33412,2017-06-07T1210,0
3178,60.846177,11.29732,2017-06-07T1210,0
3179,68.421149,17.330484,2017-06-07T1210,0
3182,59.917583,10.580452,2017-06-07T1210,0.2
3190,59.197781,6.049193,2017-06-07T1210,0
